state,round,fp_modern,electricity,hh_decisions,tfr,unmet_fp,literacy,schooling,internet,bank_account,mobile,wave
Tripura,NFHS-5,49.13,98.19,90.93,1.7,8.16,80.61,23.23,22.93,76.9,53.08,5
Tripura,NFHS-6,40.0,98.5,96.3,1.7,8.5,,32.9,48.8,91.6,65.5,6
Uttar Pradesh,NFHS-4,31.7,70.9,81.7,2.7,18.1,61.0,32.9,,54.6,37.1,4
Uttar Pradesh,NFHS-5,44.48,91.04,87.55,2.35,12.85,68.83,39.27,30.58,75.43,46.53,5
Uttar Pradesh,NFHS-6,33.2,95.8,85.9,2.2,10.8,,42.5,70.0,83.5,56.4,6
Uttarakhand,NFHS-4,49.3,97.5,89.8,2.1,15.5,76.5,44.6,,58.5,55.4,4
Uttarakhand,NFHS-5,57.83,99.59,90.98,1.85,8.84,81.57,50.36,45.12,80.21,60.93,5
Uttarakhand,NFHS-6,50.4,99.3,93.8,1.9,8.9,,56.1,76.9,91.0,72.5,6
West Bengal,NFHS-4,57.0,93.7,89.9,1.8,7.5,71.0,26.5,,43.5,41.9,4
West Bengal,NFHS-5,60.74,97.49,88.93,1.64,7.04,76.06,32.94,25.46,76.49,50.12,5
West Bengal,NFHS-6,54.9,99.1,89.0,1.6,5.0,,40.0,59.3,95.3,65.1,6
